START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,38,82C14043-6264-4747-B561-55F3F9CEA555,,FX ACCENT ARI,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,40,080071C9-5FA2-4BCF-950A-42DD2B977D0F,,FX ACCENT ARI,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,42,3DA771B3-DDEC-4251-B942-96A1C3012E15,,SHIFT TO ARI VERSE,10,,,,,,16,,,,16,,I,A,,,F0,,,,,,,,,,
1,Cue,1,42.1,D0CABE1A-C6D1-40AD-8FEB-B2C2635A2217,,BUILD DEE,10,6,,,,,20,,,,26,,,,,,,,,,,,,,,,
1,Cue,1,44,FEA12C0C-F9E9-49C8-9DE2-AE4D821BD3A8,,RESTORE TO REALISM,1,,,,,,,,,,1,,I,A,,,,,,,,,,,,,
1,Cue,1,46,F959A7F8-2701-47C7-A0E2-D9F87A531522,,SHIFT TO ARI VERSE,10,,,,,,16,,,,16,,I,,,,,,,,,,,,,,
1,Cue,1,48,3044D12C-8A96-4B87-B4CC-BA2A3F5A883B,,RESTORE TO REALISM,1,,,,,,,,,,1,,I,A,,,,,,,,,,,,,
1,Cue,1,50,2A744702-EE1C-490D-BF89-875F4A795095,,DEE ACCENT FX,1,,,,,,,,,,1,,,,,,,,,,,,E802 ,,,,
1,Cue,1,52,C4D0D632-CBB4-4B22-9565-4A15FA5166F6,,ARI ACCENT FX,1,,,,,,,,,,1,,,,,,,,,,,,E801 ,,,,
1,Cue,1,53,ACF60EEF-020E-4249-A598-71A84B1F147E,,SOUND Q53,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,,DEE ACCENT FX,,,,,,,,,,,4,,,,,,,,,,,,E802 ,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
1,Cue,1,54,5F702E03-E9E8-4DD8-A9C7-EB0CA63B52F0,20,MARK,4,,,,,,,,,,4,M,,,,,,,,,,,,,,,
1,Cue,1,55,964F3D36-0D6A-4BF5-885D-E2A0C1B12226,,SOUND Q55,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,56,E3A60A9A-AA7A-4F50-A1F2-95EF31C3A17E,,SHIFT TO VERSE DEE,10,,,,,,12,,,,12,R,I,,,,,,,,,,,,,,
1,Cue,1,58,95A4D183-6ABA-4B2A-AC19-559F5A74D64B,,ADD VERSE ARI,10,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,60,EC7520B3-4D10-4B0B-8402-31B17CDE7E58,,RESTORE TO REALISM,5,,,,,,,,,,5,,I,A,,,,,,,,,,,,,
1,Cue,1,62,7CCE28C3-9071-482D-9A93-E21F7A20B5F2,,FX ACCENT DEE,0.5,,,,,,,,,,0.5,,,,,,,,,,,,E802 ,,,,
1,Cue,1,64,483B810C-B7CE-4877-B7E0-7D008C216CAB,,SHIFT TO VERSE DEE,6,,,,,,,,,,6,,I,,,,,,,,,,,,,,
1,Cue,1,66,43D55335-9A70-45E5-B617-6C4CA7C0D9D8,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,68,12ECF114-46F4-47FC-9A11-6063CC1DFCE0,,SHIFT TO VERSE DEE,6,,,,,,,,,,6,,I,,,,,,,,,,,,,,
1,Cue,1,70,36F4F20C-75FC-47D0-A457-536A435AD8DF,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,72,D27BE6C8-2DE8-415B-A576-4546703FF7B9,,SHIFT TO VERSE ARI,4,,,,,,,,,,4,,I,,,,,,,,,,,,,,
1,Cue,1,74,20A25E8E-D880-435F-A1FE-C157643FB763,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,76,D219D2E1-774D-4ED2-871D-9537447388D9,,SHIFT TO VERSE ARI,6,,,,,,,,,,6,,I,,,,,,,,,,,,,,
1,Cue,1,78,D7A9EE09-603A-43D1-B3E5-9B1FA7636FBE,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,79,1375F00C-91FC-43F4-8A81-17B7CBA38901,,SOUND Q79 BANGS,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,80,ADB9DBC5-2545-446A-848D-A561A01A23C0,,SHIFT TO VERSE ARI,6,,,,,,,,,,6,,I,,,,,,,,,,,,,,
1,Cue,1,82,1F3E06A7-18AD-45DC-AB1E-8CC985573990,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,84,5DE965B2-7E81-4F74-9C42-D127C2AD0891,,SHIFT TO VERSE ARI AND DEE,,,,,,,,,,,7,,I,,,,,,,,,,,,,,
1,Cue,1,84,5DE965B2-7E81-4F74-9C42-D127C2AD0891,1,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,
1,Cue,1,84,5DE965B2-7E81-4F74-9C42-D127C2AD0891,2,ARI FOOT,4,3,,,,,,,,,7,,,,,,,,,,,,,,,,
1,Cue,1,85,21ECB483-5541-4C2F-B263-BE9919504923,,RESTORE TO REALISM,3,,,,,,,,,,3,,I,A,,,,,,,,,,,,,
1,Cue,1,86,1C7EDD03-92AE-44A3-8C1A-57414E1F15D6,,FX ACCENT ARI,0,,,,,,,,,,0,,,,,,,,,,,,E801 ,,,,
1,Cue,1,88,90F50EB3-10E1-413F-96D3-D824CCBCBD0E,,FX ACCENT DEE,0,,,,,,,,,,0,,,,,,,,,,,,E802 ,,,,
1,Cue,1,90,E91F8DDA-0C32-46A4-B7DF-F1207E7F68E7,,SHIFT TO VERSE DEE,4,,,,,,12,,,,12,,I,,,,,,,,,,,,,,
1,Cue,1,92,7B337391-1231-43F8-A272-84582FD44539,,RESTORE TO REALISM,2,,,,,,,,,,2,,I,A,,,,,,,,,,,,,
1,Cue,1,94,C4CFD6BA-0334-46E2-B520-7C5775312438,,FX ACCENT DEE,0,,,,,,,,,,0,,,,,,,,,,,,E802 ,,,,
1,Cue,1,96,210895E4-F211-46FA-A1E8-271119EAED6E,,FX ACCENT ARI,0,,,,,,,,,,0,,,,,,,,,,,,E801 ,,,,
1,Cue,1,98,70DDE1E5-58BA-403C-9571-9D08AAB7BD43,,FX ACCENT DEE,0,,,,,,,,,,0,,,,,,,,,,,,E802 ,,,,
1,Cue,1,100,5F03566B-0ABA-4F9F-89EE-6C2B4E4E4A9C,,SHIFT TO VERSE DEE,4,,,,,,12,,,,12,,I,,,,,,,,,,,,,,
1,Cue,1,102,08E0A79C-B8D0-40EE-86E3-C8C1BFC97D3A,,SHIFT TO VERSE ARI,,,,,,,,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,102,08E0A79C-B8D0-40EE-86E3-C8C1BFC97D3A,1,,4,,,,,,12,,,,12,,,,,,,,,,,,,,,,
1,Cue,1,102,08E0A79C-B8D0-40EE-86E3-C8C1BFC97D3A,20,MARK,4.9,,,,,,,,,,8.9,M,,,,,,,,,,,,,,,
