COLOR CODE,COLOR NAME,HEX VALUE
L703,Cold Lavender, D282DC
L704,Lily, F0AAFA
L706,King Fals Lavender, 6E46C8
L707,Ultimate Violet, 6400B4
L708,Cool Lavender, DCEBFA
L709,Electric Lilac, C8C8FA
L710,Spir Special Blue, 8CA0F0
L711,Cold Blue, AABEDC
L712,Bedford Blue, A0BEF0
L713,J.Winter Blue, 003CA0
L714,Elysian Blue, 5A91D2
L715,Cabana Blue, 3C6EDC
L716,Mikkel Blue, 0064D2
L719,Colour Wash Blue, 9BC3F0
L721,Berry Blue, 0082E6
L722,Bray Blue, 008CD2
L723,Virgin Blue, 5082DC
L724,Ocean Blue, 69E1EB
L725,Old Steel Blue, BEF2F3
L727,QFD Blue, 00A5B4
L728,Steel Green, C8EBD2
L729,Scuba Blue, 00AFAA
L730,Liberty Green, DCFFE6
L731,Dirty Ice, E1FAD7
L733,Damp Squib, EBF7CF
L735,Velvet Green, 00BE78
L736,Twickenham Green, 00AA00
L738,JAS Green, AAFF00
L740,Aurora Borealis Green, 5A6E00
L741,Mustard Yellow, 826400
L742,Bram Brown, E19B50
L744,Dirty White, F8C882
L746,Brown, 6E3C00
L747,Easy White, F5B99F
L748,Seedy Pink, E96785
L763,Wheat, FCF0D2
L764,Sun Colour Straw, FCE6B4
L765,LEE Yellow, FFE591
L767,Oklahoma Yellow, FFE600
L768,Egg Yolk Yellow, FFC600
L770,Burnt Yellow, FFB400
L773,Cardbox Amber, FCC5B2
L776,Nectarine, FCBE9B
L777,Rust, F58200
L778,Millennium Gold, FF7600
L779,Bastard Pink, FC9885
L780,AS Golden Amber, FF6F00
L787,Marius Red, B9003C
L789,Blood Red, AA3C32
L790,Moroccan Pink, FFB4A5
L793,Vanity Fair, FF3CA0
L794,Pretty n Pink, FFAFDC
L795,Magical Magenta, FA46C8
L797,Deep Purple, AF0096
L798,Chrysalis Pink, A000BE
L799,Special KH Lavender, 3C00B4
L200,Double C.T. Blue, 91BEF5
L201,Full C.T. Blue, C3E1FA
L202,Half C.T. Blue, D7F0FF
L203,Quarter C.T. Blue, EBFCFF
L204,Full C.T. Orange, FAC387
L205,Half C.T. Orange, FCD9B1
L206,Quarter C.T. Orange, FCEAD6
L207,Full C.T. Orange + .3ND, F0B46B
L208,Full C.T. Orange + .6ND, E6A550
L209,0.3ND, C8C8C8
L210,0.6ND, A5A5A5
L211,0.9ND, 828282
L212,L.C.T.Yellow (Y1), FFFAD7
L213,White Flame Green, E6FCDC
L218,Eighth C.T. Blue, F5FFFF
L219,LEE Fluorescent Green, 9BDCAF
L223,Eighth C.T. Orange, FFF3E8
L226,LEE U.V., FFFFFA
L230,Super Correction L.C.T. Yellow, DCBE8C
L232,Super Correction W.F. Green, EDBE83
L236,H.M.I. (to Tungsten), FAC795
L237,C.I.D. (to Tungsten), FCB292
L238,C.S.I. (to Tungsten), F5B9AA
L239,Polariser, CDCDCD
L241,LEE Fluorescent 5700 Kelvin, AADCC3
L242,LEE Fluorescent 4300 Kelvin, B9E6B9
L243,LEE Fluorescent 3600 Kelvin, CDF5AF
L244,LEE Plus Green, E6FABE
L245,Half Plus Green, F0FCD2
L246,Quarter Plus Green, F5FFE6
L247,LEE Minus Green, FAC3D7
L248,Half Minus Green, FFE2E4
L249,Quarter Minus Green, FFECF0
L269,LEE Heat Shield, FFFFFF
L270,LEE Scrim, BEBEBE
L271,Mirror Silver, F0F0F0
L272,Soft Gold Reflector, F0DC96
L273,Soft Silver Reflector, F3F3F3
L274,Mirror Gold, EBD791
L275,Black Scrim, BEBEBE
L278,Eighth Plus Green, F3FFF3
L279,Eighth Minus Green, FFF3F7
L280,Black Foil, 000000
L281,Three Quarter C.T. Blue, CDE6FA
L283,One and a Half C.T. Blue, AFD9F5
L285,Three Quarter C.T. Orange, FCCD94
L287,Double C.T. Orange, FFA055
L298,0.15ND, E6E6E6
L299,1.2ND, 5F5F5F
L441,Full C.T. Straw, FAC084
L442,Half C.T. Straw, FCDCAD
L443,Quarter C.T. Straw, FCEFDB
L444,Eighth C.T. Straw, FAF3E8
L642,Half Mustard Yellow, 968200
L650,Industry Sodium, C8A862
L651,HI Sodium, FF9B5F
L652,Urban Sodium, FF8246
L653,LO Sodium, 965500
L740,Aurora Borealis Green, 5A6E00
L741,Mustard Yellow, 826400
L129,Heavy Frost, FFFFFF
L184,Cosmetic Peach, F0E1D7
L186,Cosmetic Silver Rose, F8DCDD
L187,Cosmetic Rouge, F5E4D7
L188,Cosmetic Highlight, FFEBD7
L189,Cosmetic Silver Moss, EEEDD8
L191,Cosmetic Aqua Blue, E9EEEE
L216,White Diffusion, ffffff
L217,Blue Diffusion, F5FFFF
L220,White Frost, FFFFFF
L221,Blue Frost, F5FFFF
L224,Daylight Blue Frost, 96A0BE
L225,Neutral Density Frost, 9EA0A2
L228,Brushed Silk, FFFFFF
L229,Quarter Tough Spun, FFFFFF
L250,Half White Diffusion, FFFFFF
L251,Quarter White Diffusion, FFFFFF
L252,Eighth White Diffusion, FFFFFF
L253,Hampshire Frost, FFFFFF
L255,Hollywood Frost, FFFFFF
L256,Half Hampshire Frost, FFFFFF
L257,Quarter Hampshire Frost, FFFFFF
L258,Eighth Hampshire Frost, FFFFFF
L264,Tough Spun FR – 3/8, FFFFFF
L265,Tough Spun FR – 1/4, FFFFFF
L400,LEELux, FFFFFF
L402,Soft Frost, FFFFFF
L404,Half Soft Frost, FFFFFF
L410,Opal Frost, FFFFFF
L414,Highlight, FFFFFF
L414P,Perforated Highlight, FFFFFF
L416,Three Quarter White Diffusion, FFFFFF
L420,Light Opal Frost, FFFFFF
L429,Quiet Frost, FFFFFF
L430,Grid Cloth, FFFFFF
L432,Light Grid Cloth, FFFFFF
L434,Quarter Grid Cloth, FFFFFF
L439,Heavy Quiet Frost, FFFFFF
L439P,Perforated Heavy Quiet Frost, FFFFFF
L450,Three Eighth White Diffusion, FFFFFF
L452,Sixteenth White Diffusion, FFFFFF
L460,Quiet Grid Cloth, FFFFFF
L462,Quiet Light Grid Cloth, FFFFFF
L464,Quiet Quarter Grid Cloth, FFFFFF
L705,Lily Frost, F0AAFA
L717,Shanklin Frost, C3E1FA
L718,Half Shanklin Frost, D4EDFA
L720,Durham Daylight Frost, C3E1FA
L749,Hampshire Rose, FCD3CD
L750,Durham Frost, FAF1FE
L774,Soft Amber Key 1, FCD2BE
L775,Soft Amber Key 2, FCC6A5
L791,Moroccan Frost, F5B9AA
L801,Zircon Minus Green 1, FACDD7
L802,Zircon Minus Green 2, FAE7EA
L803,Zircon Minus Green 3, FCF2FA
L804,Zircon Minus Green 4, FCF7FC
L805,Zircon Minus Green 5, FCFAFC
L806,Zircon Warm Amber 2, FFAA6E
L807,Zircon Warm Amber 4, FFD291
L808,Zircon Warm Amber 6, FFE4AA
